block,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,environmental,environmental,environmental,environmental,environmental,environmental,environmental,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,pollution,pollution,pollution,pollution,pollution,pollution,pollution,pollution
S101,0.145651467,0.483544852,3464,1.908,14.95,19420,0.1672,3.153,9.429,10.67,7921,0.297513246,0.0,0.03865,614.3,8217,135.0,112.0,7.289,1.784232365,0.532712767,6.291,0.119681655,7.911,15.34,25.79,0.852716519,1.397634536,1.148841953,7.206075378,9.64,42.35,-82.95,1.22,1.78,7.0,18.54,3.2e-16,3.683324774,2.373282005,3.2e-16,1.921229298,6.178487015,3.2e-16,3.2e-16,3.2e-16,2.048197293,1.259259362,3.2e-16,2.164889412,3.2e-16,3.2e-16,1.455312899,3.9e-09,0.41796863,0.335504504,3.9e-09,0.301865362,0.541333308,3.9e-09,3.9e-09,3.9e-09,0.311680459,0.244388787,3.9e-09,0.320436175,3.9e-09,3.9e-09,0.262725284,-0.315996177,-0.175505149,-0.373955984,0.188287367,0.224362402,-0.75352915,-0.67089553,-0.575292343,-0.038125151,-0.005915931,-0.302116435,-0.738704158,-0.318234281,-0.653757645,-0.421879556,-0.995919366,-0.417614633,-0.222888876,-0.472907153,-0.157214386,-0.044579084,0.243093258,-0.748145791,-0.174620715,-0.017322394,-0.552290497,1.858565463,0.58722801,1.321855239,0.416833497,-2.9489776375099224,medium,-0.1692385056988761,medium,83.0,47.0,medium,47.0
S102,0.145524859,0.549319379,3098,2.239,17.68,38220,0.1922,3.21,9.084,11.43,8784,0.374967637,0.0,0.03971,408.7,18080,168.8,144.6,7.364,1.29918337,0.16117573,1.94,0.119451322,8.791,19.63,22.0,0.0,0.115419453,0.126381223,2.346891761,10.1,42.35,-82.92,-1.07,1.3,1.5,18.33,3.2e-16,0.769116118,3.2e-16,3.2e-16,1.268105395,3.2e-16,0.769116118,3.2e-16,3.2e-16,3.2e-16,3.914995645,6.369643422,3.2e-16,3.2e-16,3.2e-16,1.268105395,4.72e-09,0.231436907,4.72e-09,4.72e-09,0.297176413,4.72e-09,0.231436907,4.72e-09,4.72e-09,4.72e-09,0.52215844,0.666030659,4.72e-09,4.72e-09,4.72e-09,0.297176413,-0.316566219,-0.09239076,-0.553975165,0.390533771,0.353503583,0.617934915,-0.571099315,-0.533028697,-0.095953416,0.06513856,-0.094436328,-0.687960103,-0.318234281,-0.65028134,-0.994422618,0.777003083,0.107770295,0.518735349,-0.456084996,-0.647545956,-0.4626799,-0.87703306,-0.74855357,-0.099581831,0.552807901,-0.800317866,-0.593025552,-0.725434557,-0.632065665,-0.438385156,0.8727804166244646,medium,-12.217764303925327,medium,62.0,19.0,reference,19.0
S11,0.266168786,0.776684221,2691,2.142,26.15,20410,0.425,3.052,5.049,3.99,5371,4.449395982,0.0,1.013,640.3,8944,101.3,74.24,5.81,1.013021831,0.61892559,8.29,0.814269623,34.48,10.85,25.79,0.345589922,0.148725187,0.124947438,5.146739728,8.63,42.84,-82.47,1.53,1.01,1.5,20.05,3.2e-16,3.2e-16,3.2e-16,3.2e-16,4.876972618,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,2.020330998,6.101935543,0.72685025,3.2e-16,0.284917524,4.78e-09,4.78e-09,4.78e-09,4.78e-09,0.58998434,4.78e-09,4.78e-09,4.78e-09,4.78e-09,4.78e-09,4.78e-09,0.379731469,0.659931918,0.227765425,4.78e-09,0.142601767,0.199910682,0.169959689,-0.781020733,0.333489479,0.659140205,-0.652813038,0.268853302,-0.65162532,-0.974467381,-0.962731137,-1.082294322,0.517241099,-0.318234281,1.60134715,-0.36361311,-0.805329401,-1.091594349,-1.412835677,-0.839956753,-0.988022501,0.037839615,0.541920484,0.208477275,0.926282754,-0.803046935,-0.552290497,0.587074112,-0.674965554,-0.63591871,0.141291348,6.384637213971201,degraded,1.658077034599831,degraded,89.0,64.0,medium,64.0
S12,0.891611379,1.281155748,3476,0.0,31.41,36960,0.5567,3.235,6.485,3.623,7685,45.78167289,0.0,0.8653,890.0,13260,162.8,112.7,6.815,1.50549641,2.13313123,4.354,2.589561955,45.38,15.78,32.06,0.762422576,0.397468583,0.265262664,10.85894918,9.21,42.83,-82.47,-0.99,1.51,6.0,20.08,3.2e-16,1.753043802,1.555646934,3.2e-16,3.659688393,3.84419169,1.92665385,3.2e-16,2.521397372,4.880111264,3.2e-16,3.2e-16,4.271945938,4.083066611,0.517058436,3.2e-16,3.32e-09,0.245811122,0.231558466,3.32e-09,0.355162578,0.364005263,0.257695594,3.32e-09,0.294798856,0.410128555,3.32e-09,3.32e-09,0.383723167,0.375144323,0.133498062,3.32e-09,2.270473605,0.648807642,-0.368380884,-1.814429809,0.803889502,0.550029602,0.685112534,-0.51467223,-0.608303664,-1.048764957,-0.362859082,2.398886909,-0.318234281,1.341641187,0.099347684,0.079929579,0.022618769,-0.204820209,-0.582878614,-0.427422669,1.032268195,-0.137747448,1.560936687,1.139740686,0.047659656,-0.210341444,1.659928009,-0.338743641,-0.280346964,0.767952325,9.167522428065132,degraded,9.167522428065132,reference,79.0,40.0,medium,40.0
S13,0.321967484,0.729834259,5987,1.417,28.16,31330,0.3477,5.707,13.05,1.623,13800,4.773776785,0.139123738,0.04153,1351.0,11040,194.5,127.3,10.88,1.081973582,0.651579362,3.209,0.785426863,20.95,21.94,26.21,0.627965779,0.142238964,0.921138937,34.07173289,10.0,42.75,-82.47,-0.67,1.08,1.0,20.61,3.2e-16,3.2e-16,1.536171062,3.2e-16,6.253552764,0.963561989,0.560773035,3.2e-16,3.2e-16,0.560773035,3.2e-16,1.944991952,3.953201081,0.560773035,2.031354959,3.2e-16,4.18e-09,4.18e-09,0.289216133,4.18e-09,0.583533959,0.229056466,0.174741591,4.18e-09,4.18e-09,0.174741591,4.18e-09,0.32543303,0.463956409,0.174741591,0.332579622,4.18e-09,0.422348765,0.118760591,0.50820635,-0.158683477,0.717517985,0.215270982,0.006220754,0.910792987,0.474195903,-1.687018802,0.812781276,0.567845998,0.516205737,-0.644320848,0.686406967,-0.331999331,0.441367117,0.148642387,0.199286427,-0.901750563,0.067915256,-0.434503971,0.176713723,0.543665188,0.812367652,-0.526996009,1.344428741,-0.684678552,0.98301963,1.801940157,2.2944336064846276,medium,4.184967859481359,medium,88.0,60.0,medium,60.0
S14,0.872566162,0.331682248,4349,0.0,32.49,42280,0.5412,3.923,7.635,5.133,8337,2.179581693,0.0,0.2515,1148.0,16420,174.8,138.1,8.159,1.189060642,0.274233835,3.136,0.269948628,49.73,15.46,34.04,0.0,0.111837713,0.115365557,3.939782683,9.75,42.69,-82.49,1.63,1.19,6.5,20.61,3.2e-16,3.2e-16,0.561878888,3.2e-16,5.985977433,3.2e-16,1.94753258,1.538419915,3.2e-16,1.94753258,2.115477217,3.328781766,4.142957954,0.561878888,3.2e-16,3.2e-16,3.8e-09,3.8e-09,0.159340568,3.8e-09,0.520082859,3.8e-09,0.29665206,0.263658908,3.8e-09,0.29665206,0.309178424,0.387835594,0.432673469,0.159340568,3.8e-09,3.8e-09,2.218279142,-0.382406124,-0.007149708,-1.814429809,0.830683019,0.822435429,0.637990144,-0.047954489,-0.36261762,-0.730451601,-0.19932346,0.045728271,-0.318234281,-0.018430136,0.457362893,0.560483022,0.189964565,0.385112848,-0.286508029,-0.773271725,-0.3227457,-0.456081823,-0.498539764,1.211171723,0.000571911,-0.115760834,-0.593025552,-0.730951553,-0.661795097,-0.067163497,9.403760153560405,degraded,8.261016709887882,medium,99.0,95.0,degraded,95.0
S15,0.333592392,0.296597252,4881,2.871,25.32,41210,0.7198,5.157,8.552,9.983,11080,3.488485142,0.771743534,0.419,1191.0,16460,211.8,123.2,12.67,3.235636646,0.0,4.145,0.474679491,17.16,17.1,46.78,0.0,0.219846414,0.0,9.648349332,10.29,42.67,-82.51,1.57,3.24,2.9,20.61,3.2e-16,3.2e-16,1.91753784,3.2e-16,6.040340464,0.693572999,1.256339753,0.693572999,3.2e-16,4.204631519,3.2e-16,2.493040011,3.017702002,3.2e-16,3.2e-16,0.693572999,3.9e-09,3.9e-09,0.302103485,3.9e-09,0.536184769,0.18168951,0.244532909,0.18168951,3.9e-09,0.447350302,3.9e-09,0.344467607,0.378984929,3.9e-09,3.9e-09,0.18168951,0.467507432,-0.433560057,0.178910216,0.724952799,0.633762328,0.770511313,1.154317147,0.64551637,-0.189123008,-0.07424652,0.371903262,0.347463515,3.345762713,0.409650371,0.509087374,0.565953192,0.642067042,0.053617169,0.461396755,0.917522612,-0.687740036,-0.186855911,-0.202291323,0.392638043,0.232846623,0.388502064,-0.593025552,-0.571921758,-0.992073942,0.665271945,3.4401047544272014,medium,2.657369497451831,medium,97.0,87.0,degraded,87.0
S16,0.383229312,0.14441998,5134,4.159,27.44,30020,0.6733,6.012,9.109,5.975,13440,0.955994622,0.0,0.0428,1069.0,10990,215.6,116.5,15.97,1.53380776,0.221165773,3.769,0.239794962,19.07,15.91,44.16,0.0,5.16575182,0.866259333,9.292865558,10.54,42.86,-82.47,1.28,1.53,4.0,19.25,3.2e-16,3.2e-16,0.859438672,3.2e-16,5.87417538,3.2e-16,3.2e-16,3.2e-16,3.2e-16,2.14411016,3.2e-16,2.295368856,4.842340105,2.812715616,3.2e-16,0.57395551,4.06e-09,4.06e-09,0.210466524,4.06e-09,0.550236045,4.06e-09,4.06e-09,4.06e-09,4.06e-09,0.332429174,4.06e-09,0.343955157,0.49957791,0.380748757,4.06e-09,0.171994555,0.65600117,-0.672751631,0.260386423,1.263836916,0.697082492,0.128751282,1.025241929,1.048671447,-0.091696955,-0.585566071,0.759694707,-0.379483263,-0.318234281,-0.640167771,0.357078438,-0.342204395,0.683961183,-0.108633933,0.865249349,-0.39863999,-0.386813604,-0.280449888,-0.546169754,0.472320318,0.06653305,0.296800801,-0.593025552,2.207407537,0.895347961,0.632893909,-0.1692385056988761,medium,0.8485030478572397,medium,92.0,70.0,medium,70.0
S17,0.245664157,0.222477144,2378,2.437,29.73,35460,0.6382,3.247,5.205,4.479,7253,0.116281167,0.145362725,0.02268,565.8,11180,137.4,133.1,6.999,1.95296931,0.351347613,3.094,0.286954133,41.66,12.59,33.39,0.0,0.0,0.0,2.147514889,10.1,42.83,-82.48,-1.09,1.95,3.0,19.33,1.907772708,2.223337521,3.2e-16,3.2e-16,3.346859325,4.786884067,3.471414204,3.2e-16,3.2e-16,4.404868133,2.482114093,1.503278703,4.204077524,1.503278703,1.503278703,3.2e-16,0.246736541,0.266362361,3.2e-09,3.2e-09,0.326805146,0.390837847,0.332830697,3.2e-09,3.2e-09,0.374918277,0.281436893,0.219023094,0.366273514,0.219023094,0.219023094,3.2e-09,0.115698342,-0.546337898,-0.980344345,0.501853463,0.760382444,0.466105002,0.925412634,-0.505899581,-0.930697086,-0.857445106,-0.479044091,-0.870373591,0.551195653,-0.706565535,-0.537467259,-0.30366914,-0.376209079,0.278006298,-0.539417021,-0.006494013,-0.234251804,-0.46866974,-0.472174596,1.073124221,-0.467991827,-0.146207552,-0.593025552,-0.912801333,-0.992073942,-0.496953463,7.8111745130293535,degraded,6.426547077478375,medium,93.0,72.0,medium,72.0
S18,0.151716827,0.246523719,2146,1.663,27.57,27700,0.5569,3.028,5.831,2.739,6850,0.117273482,0.127167333,0.01946,432.7,11580,121.5,84.52,6.003,1.504905994,0.0,2.967,0.347835899,39.76,12.3,34.86,0.0,0.138734756,0.646218811,1.818501967,10.4,42.82,-82.48,1.63,1.5,4.0,19.57,1.908283831,0.195256291,3.2e-16,3.2e-16,5.392815161,1.528100164,0.520832163,0.902702799,3.2e-16,3.2e-16,0.367208974,1.37529132,5.626608427,1.110644064,1.204358499,0.195256291,0.306394537,0.098008118,3.97e-09,3.97e-09,0.515071239,0.274179792,0.160069442,0.210732698,3.97e-09,3.97e-09,0.134405232,0.260109901,0.526117658,0.233747504,0.243409443,0.098008118,-0.288760893,-0.50901726,-1.145810749,0.023163866,0.700810231,-0.034173467,0.685717494,-0.670043581,-0.765472971,-1.287776474,-0.593845187,-0.86959594,0.448612183,-0.717312935,-0.914277854,-0.224638926,-0.66506546,-1.038133378,-0.787764323,-0.42802637,-0.687740036,-0.507534084,-0.380559433,1.036822313,-0.520742687,-0.078146914,-0.593025552,-0.689949012,0.515843383,-0.602236939,7.021285723679915,degraded,6.730186238704807,medium,86.0,55.0,medium,55.0
S19,0.298977258,0.276513699,3255,1.98,26.07,28110,0.5038,3.457,8.428,3.679,8666,0.343493332,0.28499128,0.03205,700.0,9910,146.1,138.1,7.383,1.640125491,0.0,4.877,0.599821338,30.03,15.14,46.4,0.0,0.589155815,0.346372893,5.590101511,9.78,42.77,-82.47,-1.32,1.64,2.4,20.56,1.025928465,2.744049523,3.2e-16,3.2e-16,3.294001658,3.632147644,1.844254505,3.2e-16,3.2e-16,5.259487161,4.749895473,3.2e-16,2.210059328,2.210059328,3.2e-16,3.2e-16,0.195037898,0.318974849,3.45e-09,3.45e-09,0.349480038,0.366979847,0.261499519,3.45e-09,3.45e-09,0.441603155,0.419664752,3.45e-09,0.286261165,0.286261165,3.45e-09,3.45e-09,0.331858586,-0.463468527,-0.474280719,0.234173567,0.656728171,-0.004410892,0.522308214,-0.35626493,-0.211584621,-1.035204701,-0.121596923,-0.708226873,1.288080366,-0.675482703,-0.238301419,-0.574757274,-0.231908521,0.385112848,-0.45184733,-0.293351077,-0.687740036,-0.022800327,-0.040849231,0.819501923,-0.047440314,0.375518264,-0.593025552,-0.118253825,-0.092388606,0.207705847,4.7325466785016355,medium,-1.4242451692340339,reference,89.0,63.0,medium,63.0
S20,0.193333285,0.239893163,6490,0.0,26.3,36840,0.5274,5.039,10.32,5.507,11480,0.167835231,0.0,0.0407,1593.0,12000,212.2,133.8,11.55,2.18186061,0.0,0.834,0.349894612,17.59,16.5,44.12,0.0,0.224231288,0.181629939,3.389477283,10.36,42.74,-82.49,1.17,2.18,3.5,20.93,0.568607888,3.2e-16,0.975398027,3.2e-16,4.444464777,3.2e-16,3.2e-16,0.975398027,3.2e-16,2.282361011,3.2e-16,3.953521681,5.427236921,4.12309675,3.2e-16,3.2e-16,0.158093832,3.75e-09,0.207061532,3.75e-09,0.441995881,3.75e-09,3.75e-09,0.207061532,3.75e-09,0.316738355,3.75e-09,0.416869911,0.488424992,0.425716272,3.75e-09,3.75e-09,-0.105671369,-0.5192356,0.638276952,-1.814429809,0.663643671,0.543442112,0.595635492,0.585519911,0.102800756,-0.663785927,0.443126836,-0.830859633,-0.318234281,-0.647037802,0.918222529,-0.144542441,0.646512034,0.293239333,0.301750168,0.18473995,-0.687740036,-1.459042448,-0.377534288,0.411284737,0.150404743,0.295359914,-0.593025552,-0.565766856,-0.487213115,-0.179792938,4.351134356368765,medium,3.990875388497111,medium,96.0,85.0,degraded,85.0
S21,0.776563347,0.549986998,2375,0.0,18.48,29890,0.3542,3.009,6.421,1.325,7978,4.993675952,0.289162726,0.3044,525.1,10560,122.9,91.5,5.551,1.711381077,0.171918786,2.684,0.841235438,12.91,17.34,23.21,0.0,0.548689417,0.137627219,6.490564476,10.0,42.64,-82.51,1.16,1.71,6.0,18.02,3.2e-16,0.992840208,0.580193257,3.2e-16,4.073955943,2.158772141,3.235090048,3.2e-16,3.2e-16,3.2e-16,1.797115738,3.2e-16,5.963153612,0.580193257,2.894457615,3.2e-16,3.79e-09,0.211117045,0.161387524,3.79e-09,0.427653257,0.311305664,0.381089345,3.79e-09,3.79e-09,3.79e-09,0.284034859,3.79e-09,0.517394274,0.161387524,0.360468415,3.79e-09,1.946822899,-0.091565354,-0.982379167,-1.814429809,0.387780184,0.119960315,0.028877853,-0.684702702,-0.623065175,-1.822838715,-0.287716911,0.600559254,1.308842347,0.122663223,-0.642372,-0.431934337,-0.63816793,-0.808577955,-0.91237119,-0.22513211,-0.448809772,-0.598812276,0.237720338,0.180204622,0.265060624,-0.716948192,-0.593025552,-0.162498974,-0.602013046,0.329837049,4.982962025334656,medium,0.9527530244628681,reference,79.0,39.0,medium,39.0
S21(5),0.0,0.430802001,2806,0.0001,18.33,33170,0.3724,2.959,6.801,6.815,6139,5.23191224,0.0,0.2205,637.9,12970,130.9,123.4,7.586,1.59,1.823444586,2.913,0.804550527,25.35,12.18,26.17,0.0,0.0,0.0,3.553759507,7.28,42.64,-82.51,1.63,1.59,6.0,22.22,1.256339753,3.2e-16,4.565913047,3.2e-16,5.317915032,1.256339753,3.358854664,0.548893246,0.548893246,0.548893246,3.2e-16,1.91753784,4.448460501,3.2e-16,1.256339753,3.2e-16,0.224063898,3.58e-09,0.427151715,3.58e-09,0.460987377,0.224063898,0.36636497,0.148102463,0.148102463,0.148102463,3.58e-09,0.276815438,0.421621943,3.58e-09,0.224063898,3.58e-09,-1.017336824,-0.244859408,-0.7135628,-1.814242204,0.381461854,0.330873929,0.091743847,-0.723613832,-0.537220886,-0.457501297,-0.813913276,0.634672671,-0.318234281,-0.103910965,-0.368891655,0.030215069,-0.490069147,0.058324852,-0.407161435,-0.342452769,0.875521111,-0.524437519,0.197830729,0.689238636,-0.542907892,-0.529388126,-0.593025552,-0.912801333,-0.992073942,-0.144755239,6.870921410701667,degraded,2.289434290088173,medium,82.0,46.0,medium,46.0
S22,0.131988779,0.169447247,1772,0.0,25.69,16720,0.2978,2.242,4.078,1.277,4830,3.437896987,0.0,0.6965,367.3,8554,78.29,73.73,3.467,0.806961722,2.763455434,2.369,0.428529796,32.0,9.738,16.03,0.151388376,0.263126919,0.134927545,3.691294391,10.2,42.62,-82.51,1.09,0.81,1.0,19.35,0.326315412,3.2e-16,0.088754614,3.2e-16,5.998740754,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,0.65174378,1.473345203,5.142716126,3.2e-16,0.088754614,3.2e-16,0.15393805,4.82e-09,0.080282827,4.82e-09,0.66002021,4.82e-09,4.82e-09,4.82e-09,4.82e-09,4.82e-09,0.21755328,0.327099171,0.611115731,4.82e-09,0.080282827,4.82e-09,-0.37787772,-0.631304423,-1.454459199,-1.814429809,0.645172796,-1.056756157,-0.171444981,-1.343076635,-1.275252608,-1.846332951,-1.295487225,0.337543551,-0.318234281,1.01837439,-1.144395045,-0.905559313,-1.694689481,-1.432735339,-1.627470044,-1.264647119,1.308342102,-0.709048998,-0.265310961,0.868546471,-1.044028451,-1.28897214,-0.032585352,-0.512116024,-0.609200185,-0.116380861,8.619147139841871,degraded,2.1682556796073325,medium,84.0,51.0,medium,51.0
S23,0.29489116,1.157323475,2317,0.0,25.75,22380,0.3784,2.31,3.731,3.827,4707,2.264947187,0.0,0.2981,475.5,8785,83.78,77.71,5.076,2.167661156,0.0,1.649,0.512845276,30.42,7.461,19.93,0.817942652,0.239559269,0.762688847,2.047265441,9.79,42.44,-82.53,1.7,2.17,1.8,19.2,0.559671581,3.2e-16,0.559671581,3.2e-16,5.144054104,3.2e-16,0.559671581,3.2e-16,3.2e-16,1.850653455,1.127523752,1.410757772,5.889810299,3.2e-16,0.559671581,3.2e-16,0.178013529,4.26e-09,0.178013529,4.26e-09,0.539683508,4.26e-09,0.178013529,4.26e-09,4.26e-09,0.323704647,0.252667412,0.282626323,0.577480118,4.26e-09,0.178013529,4.26e-09,0.315608109,0.541873664,-1.022232312,-1.814429809,0.647008224,-0.466167697,0.112286301,-1.278719294,-1.39692591,-1.000133555,-1.347286323,0.068915491,-0.318234281,0.106163244,-0.781780385,-0.845654404,-1.536227265,-1.280918432,-1.052946279,0.173283027,-0.687740036,-1.005577236,-0.151646492,0.829453886,-1.626854164,-0.953670941,1.783236997,-0.54442337,0.722632148,-0.527819785,7.668194831269204,degraded,7.021285723679915,degraded,73.0,28.0,medium,28.0
S24,0.0,0.338262644,2965,0.0,29.51,45290,0.5004,3.199,5.099,3.545,6192,36.36817427,0.331588669,0.1578,656.3,16630,170.5,125.7,6.098,1.467445233,0.348431622,1.912,0.191728937,37.96,9.301,25.92,0.0,0.12594676,0.864856954,1.088404155,9.67,42.57,-82.57,1.83,1.47,1.2,10.2,0.428700662,3.2e-16,2.365202356,2.040607317,5.894272313,1.448955808,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.370521499,4.57515318,3.2e-16,3.2e-16,3.2e-16,0.145957446,3.99e-09,0.342833561,0.318440941,0.541208086,0.268334645,3.99e-09,3.99e-09,3.99e-09,3.99e-09,3.99e-09,0.40925852,0.476817293,3.99e-09,3.99e-09,3.99e-09,-1.017336824,-0.372962168,-0.62471207,-1.814429809,0.75450969,0.961744297,0.511649381,-0.541140101,-0.960316712,-1.067928748,-0.796650697,2.202256217,1.516266801,-0.283646638,-0.328919715,0.589054076,0.131349905,0.11192568,-0.762599712,-0.466623911,-0.237505224,-0.888835116,-0.624542501,1.000834956,-1.145635613,-0.544419121,-0.593025552,-0.709321194,0.893073986,-0.888127763,9.222685832648573,degraded,2.9390519920552824,reference,98.0,90.0,degraded,90.0
S25,0.181585485,0.223873512,1900,0.0,23.88,30470,0.2966,2.024,3.791,0.8265,3866,0.848383669,0.0,0.1096,333.7,11990,98.97,87.67,4.401,1.059269085,0.515233135,1.094,0.137798797,27.33,6.23,15.66,0.765479375,0.193773678,0.113565185,1.814040772,10.12,42.54,-82.61,1.7,1.06,2.1,17.91,0.498989278,3.2e-16,0.869039322,3.2e-16,5.389191322,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,1.163285804,5.848286675,3.2e-16,3.2e-16,3.2e-16,0.190369637,4.82e-09,0.251230168,4.82e-09,0.625624683,4.82e-09,4.82e-09,4.82e-09,4.82e-09,4.82e-09,4.82e-09,0.290666705,0.651728031,4.82e-09,4.82e-09,4.82e-09,-0.156700273,-0.544150717,-1.342049908,-1.814429809,0.587772734,0.158890293,-0.17580114,-1.558895246,-1.375261937,-2.094614979,-1.74252191,-0.429007837,-0.318234281,-0.428562879,-1.279072599,-0.146416712,-1.146127934,-0.932302375,-1.272877476,-0.929838651,-0.061853831,-1.295534846,-0.716331385,0.746968101,-2.011363001,-1.324689536,1.666817509,-0.608982416,-0.666681899,-0.603747499,8.859630073549814,degraded,4.445049064149705,medium,81.0,44.0,medium,44.0
S27,0.767155122,0.772555796,9513,0.0,34.03,44830,0.9908,6.212,16.5,21.36,14400,9.198817716,0.0,0.8108,2405.0,22640,225.5,159.2,19.02,3.993365655,0.0,7.149,0.713884173,23.86,25.01,73.16,0.314257534,0.384741725,0.151875585,1.935446068,10.8,42.5,-82.5,1.46,3.99,3.0,18.5,3.2e-16,3.2e-16,0.713395675,3.2e-16,5.210782962,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,5.913489117,3.2e-16,2.336618371,3.2e-16,4.75e-09,4.75e-09,0.224344093,4.75e-09,0.606318605,4.75e-09,4.75e-09,4.75e-09,4.75e-09,4.75e-09,4.75e-09,4.75e-09,0.645908951,4.75e-09,0.406016138,4.75e-09,1.919435273,0.165502586,1.254849494,-1.814429809,0.867430621,0.941064932,1.843379455,1.135864995,0.85165429,0.726407264,0.898255023,1.065781017,-0.318234281,1.24058248,1.497852986,1.282664478,0.789746676,0.798326817,1.173932268,1.339097266,-0.687740036,0.38030404,0.095656437,0.642859249,1.119525476,1.1033388,0.493405507,-0.354436888,-0.564361016,-0.563469861,4.7694167312785165,medium,4.110719426656303,medium,100.0,98.0,degraded,98.0
S27(5),0.349208308,0.810694608,7040,3.005,30.59,67620,0.9291,7.393,16.54,24.08,14240,10.96479027,0.0,0.503,1664.0,27990,271.6,271.5,19.31,2.76,13.4974862,8.418,3.297767174,18.72,26.56,83.6,0.0,0.0,0.0,37.90246429,7.4,42.64,-82.5,1.57,2.76,1.7,22.25,3.2e-16,3.2e-16,1.587202711,3.2e-16,3.850656769,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,1.756008042,6.371875625,3.2e-16,0.457289986,3.2e-16,4.78e-09,4.78e-09,0.336430389,4.78e-09,0.524018265,4.78e-09,4.78e-09,4.78e-09,4.78e-09,4.78e-09,4.78e-09,0.353868797,0.674081899,4.78e-09,0.180582169,4.78e-09,0.527554093,0.206288459,0.769435199,0.788799248,0.782943066,1.773668041,1.695125793,1.606045716,0.85557898,0.85569334,0.875815324,1.205545619,-0.318234281,0.605648301,0.979573714,1.759591294,1.228250516,2.352570232,1.200791106,0.612401716,3.339516519,0.55879728,1.917838878,0.458302635,1.261084252,1.317503657,-0.593025552,-0.912801333,-0.992073942,1.900791138,2.3610011301129745,medium,-0.5230925718544974,medium,93.0,75.0,medium,75.0
S28,0.0,0.512498314,3956,0.0,27.73,38320,0.3447,2.567,5.868,2.617,5745,0.787293714,0.0,0.0868,820.2,12550,141.2,96.14,6.049,1.842033449,0.289972936,0.0,0.112375578,35.26,9.244,16.87,0.126341569,0.212824394,0.217184454,3.797408876,9.7,42.55,-82.42,1.54,1.84,0.5,15.8,3.2e-16,1.888578717,3.2e-16,3.2e-16,4.662451872,0.744742945,1.597901556,3.2e-16,3.2e-16,3.2e-16,3.2e-16,1.888578717,6.056161681,3.2e-16,1.23349013,0.744742945,4.13e-09,0.316808196,4.13e-09,4.13e-09,0.497778396,0.198944557,0.291409612,4.13e-09,4.13e-09,4.13e-09,4.13e-09,0.316808196,0.567319346,4.13e-09,0.256033447,0.198944557,-1.017336824,-0.13847382,-0.159845915,-1.814429809,0.705375002,0.623227975,-0.004273251,-1.046881694,-0.756187088,-1.325136648,-0.947116735,-0.458422063,-0.318234281,-0.499320259,-0.015499918,-0.043791909,-0.312096556,-0.66537468,-0.775537005,-0.104580232,-0.304256664,-2.207041375,-0.761121446,0.943609669,-1.159205472,-1.210683391,-0.120024286,-0.581824568,-0.397534515,-0.095051552,9.01729094957458,degraded,9.01729094957458,medium,95.0,79.0,medium,79.0
S28(5),0.0,0.394919494,4113,0.0001,20.77,37260,0.2836,2.736,7.073,6.492,6059,4.171925994,0.0,0.05742,887.1,12300,143.9,149.2,7.426,1.53,0.787773751,1.421,0.53360855,27.61,10.49,18.61,0.0,1.035786075,0.0,5.080885666,7.0,42.55,-82.42,1.56,1.53,0.5,22.5,0.865457877,3.2e-16,1.067563284,1.902932582,4.254154984,5.183584401,3.022063736,2.695871814,3.2e-16,3.2e-16,3.2e-16,2.273699814,4.429478397,3.2e-16,2.273699814,1.067563284,0.172645018,3.32e-09,0.191746699,0.256001661,0.382769863,0.422518929,0.322613764,0.304705787,3.32e-09,3.32e-09,3.32e-09,0.279832174,0.39057764,3.32e-09,0.279832174,0.191746699,-1.017336824,-0.293520306,-0.097100402,-1.814242204,0.478627223,0.566405208,-0.223252978,-0.903362357,-0.47830474,-0.50503787,-0.840254275,0.471504027,-0.318234281,-0.592719288,0.094758048,-0.089028741,-0.267575673,0.609741952,-0.442292181,-0.40249237,0.187256762,-1.116576608,-0.124628269,0.754804472,-0.87849387,-1.059597617,-0.593025552,0.306598392,-0.992073942,0.131019808,6.730186238704807,degraded,9.222685832648573,medium,76.0,31.0,medium,31.0
